;name;place_name;promoted_content;query;tweet_volume;url
55;Supreme Court;Ottawa;;%22Supreme+Court%22;38208;http://twitter.com/search?q=%22Supreme+Court%22
56;President Carter;Ottawa;;%22President+Carter%22;;http://twitter.com/search?q=%22President+Carter%22
57;Bonucci;Ottawa;;Bonucci;73236;http://twitter.com/search?q=Bonucci
58;Albion Falls;Ottawa;;%22Albion+Falls%22;;http://twitter.com/search?q=%22Albion+Falls%22
59;Oakville;Ottawa;;Oakville;;http://twitter.com/search?q=Oakville
60;Bank of Canada;Ottawa;;%22Bank+of+Canada%22;;http://twitter.com/search?q=%22Bank+of+Canada%22
61;Antarctica;Ottawa;;Antarctica;128312;http://twitter.com/search?q=Antarctica
62;Kid Rock;Ottawa;;%22Kid+Rock%22;82555;http://twitter.com/search?q=%22Kid+Rock%22
63;Federer;Ottawa;;Federer;99566;http://twitter.com/search?q=Federer
64;Andy Murray;Ottawa;;%22Andy+Murray%22;69916;http://twitter.com/search?q=%22Andy+Murray%22
65;Lonzo;Ottawa;;Lonzo;236172;http://twitter.com/search?q=Lonzo
66;Sooke Road;Ottawa;;%22Sooke+Road%22;;http://twitter.com/search?q=%22Sooke+Road%22
67;Milos Raonic;Ottawa;;%22Milos+Raonic%22;12925;http://twitter.com/search?q=%22Milos+Raonic%22
68;Ager Hasan;Ottawa;;%22Ager+Hasan%22;;http://twitter.com/search?q=%22Ager+Hasan%22
69;Aladdin;Ottawa;;Aladdin;222420;http://twitter.com/search?q=Aladdin
70;Herbal Therapy;Ottawa;;%22Herbal+Therapy%22;;http://twitter.com/search?q=%22Herbal+Therapy%22
71;Shia LaBeouf;Ottawa;;%22Shia+LaBeouf%22;33463;http://twitter.com/search?q=%22Shia+LaBeouf%22
72;#MyAgeInAPhrase;Ottawa;;%23MyAgeInAPhrase;;http://twitter.com/search?q=%23MyAgeInAPhrase
73;#Polaris2017;Ottawa;;%23Polaris2017;;http://twitter.com/search?q=%23Polaris2017
