;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866668290290184192;2017_06_08 15:47:25;[ 1.02082184];[1];[1];[2];[ 692.63089626];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:47:26;[ 0.95871891];[2];[1];[2];[ 65.00337481];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:47:27;[ 1.22439789];[2];[2];[2];[ 3.15672194];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:47:27;[ 1.1262657];[2];[2];[2];[ 3.41063927];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:47:28;[ 1.33383598];[2];[1];[2];[ 3.29664128];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:47:02;[ 0.87206969];[2];[2];[2];[ 1.94707835];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_06_08 15:47:04;[ 0.88745791];[2];[1];[2];[-93.02347683];[1];[2];[2];[1];[1];[1]
0;866668290290184192;2017_06_08 15:47:05;[ 0.98881486];[1];[1];[2];[-611.56202281];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:47:05;[ 0.95718516];[2];[1];[2];[-52.56334735];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:47:06;[ 1.21315553];[2];[2];[2];[ 2.42576645];[2];[2];[2];[1];[2];[1]
0;860779411116888064;2017_06_08 15:47:07;[ 1.12622422];[2];[2];[2];[ 2.61066998];[2];[2];[2];[2];[2];[1]
0;869140128438136832;2017_06_08 15:47:08;[ 1.33077692];[2];[1];[2];[ 3.44712082];[2];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:46:43;[ 0.85769103];[2];[2];[2];[ 3.43384103];[1];[2];[1];[1];[1];[1]
0;866668601419456512;2017_06_08 15:46:44;[ 0.86499221];[2];[1];[2];[ 110.113721];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:46:44;[ 0.99850625];[1];[1];[2];[ 783.48995341];[1];[2];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:46:45;[ 0.9292809];[2];[1];[2];[ 72.08411179];[1];[2];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:46:46;[ 1.19196823];[2];[2];[2];[ 2.84028139];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:46:47;[ 1.10810999];[2];[2];[2];[ 3.08780298];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:46:47;[ 1.31453887];[2];[1];[2];[ 1.61569848];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:46:21;[ 0.88879175];[1];[2];[2];[-0.7865718];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:46:22;[ 0.88876554];[1];[1];[2];[-503.29897987];[1];[2];[2];[1];[1];[1]
